Gyáriszám;Azonosító;Kezdõ dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-05-06 00:00;2025-05-06 00:15;0,013000;2;0,000000;2;0,013000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 00:15;2025-05-06 00:30;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 00:30;2025-05-06 00:45;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 00:45;2025-05-06 01:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 01:00;2025-05-06 01:15;0,012000;2;0,000000;2;0,012000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 01:15;2025-05-06 01:30;0,016000;2;0,000000;2;0,016000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 01:30;2025-05-06 01:45;0,014000;2;0,000000;2;0,014000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 01:45;2025-05-06 02:00;0,019000;2;0,000000;2;0,019000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 02:00;2025-05-06 02:15;0,011000;2;0,000000;2;0,011000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 02:15;2025-05-06 02:30;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 02:30;2025-05-06 02:45;0,011000;2;0,000000;2;0,011000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 02:45;2025-05-06 03:00;0,020000;2;0,000000;2;0,020000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 03:00;2025-05-06 03:15;0,011000;2;0,000000;2;0,011000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 03:15;2025-05-06 03:30;0,018000;2;0,000000;2;0,018000;2
9940220802;HU000220F11-S00000000000007928672;2025-05-06 03:30;2025-05-06 03:45;0,012000;2;0,000000;2;0,012000;2
