Gyáriszám;Azonosító;Kezdõ dátum;Záró dátum;Hatásos érték [kWh];Hatásos státusz;Hatásos vesz érték [kWh];Hatásos vesz státusz;Szaldó érték [kWh];Szaldó státusz
9940220802;HU000220F11-S00000000000007928672;2025-01-25 00:00;2025-01-25 00:15;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 00:15;2025-01-25 00:30;0,035000;2;0,000000;2;0,035000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 00:30;2025-01-25 00:45;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 00:45;2025-01-25 01:00;0,145000;2;0,000000;2;0,145000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 01:00;2025-01-25 01:15;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 01:15;2025-01-25 01:30;0,035000;2;0,000000;2;0,035000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 01:30;2025-01-25 01:45;0,033000;2;0,000000;2;0,033000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 01:45;2025-01-25 02:00;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 02:00;2025-01-25 02:15;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 02:15;2025-01-25 02:30;0,036000;2;0,000000;2;0,036000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 02:30;2025-01-25 02:45;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 02:45;2025-01-25 03:00;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 03:00;2025-01-25 03:15;0,034000;2;0,000000;2;0,034000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 03:15;2025-01-25 03:30;0,037000;2;0,000000;2;0,037000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 03:30;2025-01-25 03:45;0,032000;2;0,000000;2;0,032000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 03:45;2025-01-25 04:00;0,139000;2;0,000000;2;0,139000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 04:00;2025-01-25 04:15;0,158000;2;0,000000;2;0,158000;2
9940220802;HU000220F11-S00000000000007928672;2025-01-25 04:15;2025-01-25 04:30;0,161000;2;0,000000;2;0,161000;2
